StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,COM_1,CRT_1,"ATT_1 ",CRT_2,CRT_3,CRT_4,"MDA_1 ",MDA_2 _1,"MDB_1 ",MDB_2 _1,"MDC_1 ",MDC_2 _1,"DQ_1 ","DQ_2 ",DQ_2 _3_TEXT,"DQ_3 ","DQ_4 ",DQ_4 _6_TEXT,"DQ_5 ",DQ_6 _1,SC0,PROLIFIC_PID,STUDY_ID,SESSION_ID,FL_17_DO,FL_18_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Do you commit to providing thoughtful answers to the questions in this survey?,A book and a pencil cost $1.20 in total. The book costs $1.00 more than the pencil. How much does the pencil cost? _____ cents.,"We care about the quality of our data. To ensure you are paying attention, please answer ""goat"" in response to the following question. Which animal from the list below is your favorite?","If it takes 10 programmers 10 minutes to make 10 improvements, how long would it take 50 programmers to make 50 improvements? _____ minutes","There is a grasshopper crossing a road. With every jump, the distance the grasshopper jumps doubles. If it takes 26 jumps for the grasshopper to cross the entire road, how many jumps would it take for the grasshopper to make it halfway across? _____ jumps.",A farmer had 15 sheep and all but 8 died. How many are left? _____ sheep.,Should the captain kill the injured crewman?,How acceptable is it for the captain to kill the crewman? - How acceptable?,Should Jane smother her child to death?,How acceptable is it for Jane to smother her child to death? - How acceptable?,Should Jane push the lone workman off the bridge?,How acceptable is it for Jane to push the lone workman off the bridge? - How acceptable?,Age,Gender - Selected Choice,Gender - Other - Text,Annual income,Ethnicity - Selected Choice,Ethnicity - Other - Text,Highest Level of Education Completed,How familiar are you with moral dilemmas and math questions in this survey? - How familiar?,Score,PROLIFIC_PID,STUDY_ID,SESSION_ID,FL_17 - Block Randomizer - Display Order,FL_18 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID20""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_3_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_6_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_1""}","{""ImportId"":""SC_6VVWwLr3gBX77IW""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""FL_17_DO""}","{""ImportId"":""FL_18_DO""}"
2023-10-30 00:30:42,2023-10-30 00:32:10,0,24.6.150.227,100,87,1,2023-10-30 00:32:11,R_3EaiEnBIhNjJtHD,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,10,5,10,25,8,1,7,1,5,1,6,25,1,-99,6,1,-99,4,2,26,,,,CRT |FL_18,MoralDilemmaB|MoralDilemmaC|MoralDilemmaA 
2023-10-30 00:32:12,2023-10-30 00:33:14,0,24.6.150.227,100,62,1,2023-10-30 00:33:14,R_1GIDJfvHILJUTMZ,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,10,5,10,13,8,2,3,2,2,2,1,22,2,-99,6,1,-99,5,2,10,,,,FL_18|CRT ,MoralDilemmaB|MoralDilemmaA |MoralDilemmaC
2023-10-30 00:33:16,2023-10-30 00:34:15,0,24.6.150.227,100,58,1,2023-10-30 00:34:15,R_BER38AKQ6Ro3SdX,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,1,10,5,50,23,7,2,2,2,2,2,1,28,2,-99,5,"3,4",-99,4,2,7,,,,FL_18|CRT ,MoralDilemmaB|MoralDilemmaA |MoralDilemmaC
2023-10-30 00:34:17,2023-10-30 00:35:21,0,24.6.150.227,100,63,1,2023-10-30 00:35:21,R_1I5TH4RPAbIa8a2,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,20,5,10,25,8,2,2,2,3,2,3,25,2,-99,5,2,-99,4,3,12,,,,FL_18|CRT ,MoralDilemmaC|MoralDilemmaA |MoralDilemmaB
2023-10-30 00:35:23,2023-10-30 00:36:58,0,24.6.150.227,100,94,1,2023-10-30 00:36:59,R_1i259cBKmdEtbXM,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,20,5,10,13,8,1,4,2,4,2,3,30,2,-99,7,1,-99,4,2,15,,,,FL_18|CRT ,MoralDilemmaB|MoralDilemmaA |MoralDilemmaC
2023-10-30 00:37:01,2023-10-30 00:37:57,0,24.6.150.227,100,56,1,2023-10-30 00:37:58,R_2YqUy0TY7y3sNXf,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,1,20,5,20,20,20,2,2,2,2,2,2,30,2,-99,6,4,-99,4,3,7,,,,FL_18|CRT ,MoralDilemmaC|MoralDilemmaA |MoralDilemmaB
2023-10-30 00:38:00,2023-10-30 00:38:51,0,24.6.150.227,100,50,1,2023-10-30 00:38:52,R_2vjLbZat9zP9QE4,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,10,5,10,13,7,1,5,1,6,1,6,25,1,-99,5,1,-99,4,2,23,,,,CRT |FL_18,MoralDilemmaA |MoralDilemmaB|MoralDilemmaC
2023-10-30 00:38:54,2023-10-30 00:39:52,0,24.6.150.227,100,57,1,2023-10-30 00:39:52,R_2xXFMbuj1CpUuVG,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,10,5,10,25,8,1,5,1,5,1,5,22,2,-99,3,4,-99,4,2,23,,,,FL_18|CRT ,MoralDilemmaC|MoralDilemmaA |MoralDilemmaB
2023-10-30 00:39:54,2023-10-30 00:40:49,0,24.6.150.227,100,54,1,2023-10-30 00:40:49,R_3hc0y1MvqGMOlGA,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,20,5,10,25,7,1,7,1,7,1,6,28,1,-99,7,2,-99,5,3,26,,,,CRT |FL_18,MoralDilemmaC|MoralDilemmaA |MoralDilemmaB
2023-10-30 00:40:51,2023-10-30 00:41:42,0,24.6.150.227,100,50,1,2023-10-30 00:41:42,R_w4qTjpD5iud3WeZ,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,20,5,50,13,7,1,5,1,5,1,2,22,1,-99,3,2,-99,4,2,16,,,,FL_18|CRT ,MoralDilemmaB|MoralDilemmaC|MoralDilemmaA 
2023-10-30 00:41:44,2023-10-30 00:43:01,0,24.6.150.227,100,76,1,2023-10-30 00:43:02,R_PUpk0VozG3KKnNT,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,10,5,10,23,7,2,2,-99,2,2,2,22,2,-99,6,2,-99,4,2,9,,,,FL_18|CRT ,MoralDilemmaA |MoralDilemmaB|MoralDilemmaC
2023-10-30 00:43:04,2023-10-30 00:43:55,0,24.6.150.227,100,51,1,2023-10-30 00:43:56,R_1HjI9R8fMafsW0V,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,1,10,4,11,23154,54154,2,2,2,2,-99,2,12456,2,-99,4,"4,6",-99,5,2,7,,,,FL_18|CRT ,MoralDilemmaA |MoralDilemmaB|MoralDilemmaC
2023-10-30 00:43:58,2023-10-30 00:45:12,0,24.6.150.227,100,74,1,2023-10-30 00:45:12,R_3G8NThPSqW0PGRG,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,10,5,10,26,2,2,2,2,2,2,2,55,2,-99,6,3,-99,3,3,9,,,,FL_18|CRT ,MoralDilemmaB|MoralDilemmaC|MoralDilemmaA 
2023-10-30 00:45:14,2023-10-30 00:46:04,0,24.6.150.227,100,50,1,2023-10-30 00:46:05,R_XhSaakuhIrmc7hD,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,10,5,10,25,8,1,5,2,3,1,5,23,2,-99,6,3,-99,2,3,20,,,,FL_18|CRT ,MoralDilemmaB|MoralDilemmaC|MoralDilemmaA 
2023-10-30 00:46:09,2023-10-30 00:46:54,0,24.6.150.227,100,44,1,2023-10-30 00:46:55,R_1FhyZwBuTsfhQzA,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,10,5,10,25,7,1,6,1,6,1,6,-99,1,-99,5,2,-99,4,3,25,,,,CRT |FL_18,MoralDilemmaA |MoralDilemmaC|MoralDilemmaB
2023-10-30 00:46:56,2023-10-30 00:47:59,0,24.6.150.227,100,62,1,2023-10-30 00:47:59,R_1dowxTRat8IUuiY,,,,,37.7703,-122.4407,anonymous,EN,0.8999999761581421,2,10,5,10,25,8,1,5,1,5,1,4,27,2,-99,5,4,-99,4,2,22,,,,CRT |FL_18,MoralDilemmaB|MoralDilemmaC|MoralDilemmaA 
