StartDate,EndDate,Status,Progress,Duration,Finished,RecordedDate,UserLanguage,COM_1,CRT_1_raw,CRT_1,CRT_2_raw,CRT_2,CRT_3_raw,CRT_3,CRT_4_raw,CRT_4,CRT_5_raw,CRT_5,MDA_1,MDA_2,MDB_1,MDB_2,MDC_1,MDC_2,ATT_1,DQ_1,DQ_2a,DQ_2b,DQ_3,DQ_4a,DQ_4b,DQ_5,DQ_6_CRT,DQ_6_dilemma,SC0,FL_17_DO_raw,FL_17_DO,FL_18_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,User Language,Do you commit to providing thoughtful answers to the questions in this survey?,How many of each animal did Moses put on the Ark? _____ animals.,How many of each animal did Moses put on the Ark? _____ animals.,"If it takes 10 programmers 10 minutes to make 10 improvements, how long would it take 50 programmers to make 50 improvements? _____ minutes","If it takes 10 programmers 10 minutes to make 10 improvements, how long would it take 50 programmers to make 50 improvements? _____ minutes",How many months have 28 days? ____ months.,How many months have 28 days? ____ months.,A farmer had 15 sheep and all but 8 died. How many are left? _____ sheep.,A farmer had 15 sheep and all but 8 died. How many are left? _____ sheep.,"There is a grasshopper crossing a road. With every jump, the distance the grasshopper jumps doubles. If it takes 26 jumps for the grasshopper to cross the entire road, how many jumps would it take for the grasshopper to make it halfway across? _____ jumps.","There is a grasshopper crossing a road. With every jump, the distance the grasshopper jumps doubles. If it takes 26 jumps for the grasshopper to cross the entire road, how many jumps would it take for the grasshopper to make it halfway across? _____ jumps.",Should the captain kill the injured crewman?,How acceptable is it for the captain to kill the crewman? - 6,Should Jane smother her child to death?,How acceptable is it for Jane to smother her child to death? - 1,Should Jane push the lone workman off the bridge?,How acceptable is it for Jane to push the lone workman off the bridge? - 1,"This is a simple question. You do not need to have strong opinions about farms or animals to answer. When asked for your favorite farm animal, please select goat.

What is your favorite farm animal?",Age,Gender - Selected Choice,Gender - Other - Text,Annual income,Ethnicity - Selected Choice,Ethnicity - Other - Text,Highest Level of Education Completed,How familiar are you with numerical questions in this survey? - 1,How familiar are you with moral dilemmas in this survey? - 1,Score,FL_17 - Block Randomizer - Display Order,FL_17 - Block Randomizer - Display Order,FL_18 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20""}","{""ImportId"":""QID28_TEXT""}",,"{""ImportId"":""QID1_TEXT""}",,"{""ImportId"":""QID2_TEXT""}",,"{""ImportId"":""QID4_TEXT""}",,"{""ImportId"":""QID3_TEXT""}",,"{""ImportId"":""QID7""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID30""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_3_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_6_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""SC_6VVWwLr3gBX77IW""}","{""ImportId"":""FL_17_DO""}","{""ImportId"":""FL_17_DO""}","{""ImportId"":""FL_18_DO""}"
12/4/23 23:13,12/4/23 23:18,0,100,317,1,12/4/23 23:18,EN,2,2,2,500,500,12,12,0,0,13,13,1,4,2,1,1,3,4,26,2,-99,8,2,-99,4,1,2,6,FL_18|CRT,FL_18|CRT,MoralDilemmaC|MoralDilemmaA |MoralDilemmaB
12/4/23 23:14,12/4/23 23:19,0,100,284,1,12/4/23 23:19,EN,2,none,0,10,10,1,1,7,7,6.5,6.5,1,7,1,7,1,7,5,26,1,-99,3,6,Latino,3,1,3,17,CRT |FL_18,CRT|FL_18,MoralDilemmaC|MoralDilemmaB|MoralDilemmaA 
12/4/23 23:15,12/4/23 23:19,0,100,266,1,12/4/23 23:19,EN,2,1,1,50,50,1,1,7,7,52,52,1,3,2,2,2,6,4,23,2,-99,1,2,-99,4,2,3,9,CRT |FL_18,CRT|FL_18,MoralDilemmaB|MoralDilemmaA |MoralDilemmaC
12/4/23 23:14,12/4/23 23:19,0,100,299,1,12/4/23 23:19,EN,2,2,2,10,10,1,1,8,8,13,13,1,4,2,2,2,2,4,27,1,-99,1,1,-99,2,2,2,6,FL_18|CRT,FL_18|CRT,MoralDilemmaB|MoralDilemmaA |MoralDilemmaC
12/4/23 23:15,12/4/23 23:19,0,100,241,1,12/4/23 23:19,EN,2,2,2,1,1,1,1,7,7,13,13,1,4,2,2,1,5,4,36,1,-99,3,1,-99,4,1,2,9,CRT |FL_18,CRT|FL_18,MoralDilemmaA |MoralDilemmaB|MoralDilemmaC
12/4/23 23:16,12/4/23 23:21,0,100,289,1,12/4/23 23:21,EN,2,two,2,ten,10,twelve,12,eight,8,25,25,1,4,1,5,2,2,4,41,1,-99,6,1,-99,5,3,2,10,CRT |FL_18,CRT|FL_18,MoralDilemmaC|MoralDilemmaA |MoralDilemmaB
12/4/23 23:15,12/4/23 23:21,0,100,377,1,12/4/23 23:21,EN,2,2,2,50,50,12,12,7,7,13,13,1,7,1,7,2,1,4,31,1,-99,1,1,-99,3,2,1,10,FL_18|CRT,FL_18|CRT,MoralDilemmaC|MoralDilemmaA |MoralDilemmaB
12/4/23 23:16,12/4/23 23:21,0,100,310,1,12/4/23 23:21,EN,2,2,2,10,10,1,1,7,7,25,25,1,7,2,1,2,3,4,44,1,-99,1,6,Hispanic,5,2,2,6,CRT |FL_18,CRT|FL_18,MoralDilemmaC|MoralDilemmaA |MoralDilemmaB
