"StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","UserLanguage","COM_1","CRT_1","CRT_2","CRT_3","CRT_4","CRT_5","MDA_1","MDA_2 _1","MDB_1","MDB_2 _1","MDC_1","MDC_2 _1","ATT_1","DQ_1","DQ_2","DQ_2 _3_TEXT","DQ_3","DQ_4","DQ_4 _6_TEXT","DQ_5","DQ_6 _1","Q29_1","SC0","FL_17_DO","FL_18_DO"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","User Language","Do you commit to providing thoughtful answers to the questions in this survey?","How many of each animal did Moses put on the Ark? _____ animals.","If it takes 10 programmers 10 minutes to make 10 improvements, how long would it take 50 programmers to make 50 improvements? _____ minutes","How many months have 28 days? ____ months.","A farmer had 15 sheep and all but 8 died. How many are left? _____ sheep.","There is a grasshopper crossing a road. With every jump, the distance the grasshopper jumps doubles. If it takes 26 jumps for the grasshopper to cross the entire road, how many jumps would it take for the grasshopper to make it halfway across? _____ jumps.","Should the captain kill the injured crewman?","How acceptable is it for the captain to kill the crewman? - 6","Should Jane smother her child to death?","How acceptable is it for Jane to smother her child to death? - 1","Should Jane push the lone workman off the bridge?","How acceptable is it for Jane to push the lone workman off the bridge? - 1","This is a simple question. You do not need to have strong opinions about farms or animals to answer. When asked for your favorite farm animal, please select goat.

What is your favorite farm animal?","Age","Gender - Selected Choice","Gender - Other - Text","Annual income","Ethnicity - Selected Choice","Ethnicity - Other - Text","Highest Level of Education Completed","How familiar are you with numerical questions in this survey? - 1","How familiar are you with moral dilemmas in this survey? - 1","Score","FL_17 - Block Randomizer - Display Order","FL_18 - Block Randomizer - Display Order"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID30""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_3_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_6_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""SC_6VVWwLr3gBX77IW""}","{""ImportId"":""FL_17_DO""}","{""ImportId"":""FL_18_DO""}"
"2023-12-04 23:13:03","2023-12-04 23:18:20","0","100","317","1","2023-12-04 23:18:21","EN","2","2","500","12","0","13","1","4","2","1","1","3","4","26","2","-99","8","2","-99","4","1","2","6","FL_18|CRT ","MoralDilemmaC|MoralDilemmaA |MoralDilemmaB"
"2023-12-04 23:14:39","2023-12-04 23:19:23","0","100","284","1","2023-12-04 23:19:23","EN","2","none","10","1","7","6.5","1","7","1","7","1","7","5","26","1","-99","3","6","Latino","3","1","3","17","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:15:05","2023-12-04 23:19:31","0","100","266","1","2023-12-04 23:19:32","EN","2","1","50","1","7","52","1","3","2","2","2","6","4","23","2","-99","1","2","-99","4","2","3","9","CRT |FL_18","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:14:41","2023-12-04 23:19:41","0","100","299","1","2023-12-04 23:19:41","EN","2","2","10","1","8","13","1","4","2","2","2","2","4","27","1","-99","1","1","-99","2","2","2","6","FL_18|CRT ","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:15:45","2023-12-04 23:19:47","0","100","241","1","2023-12-04 23:19:47","EN","2","2","1","1","7","13","1","4","2","2","1","5","4","36","1","-99","3","1","-99","4","1","2","9","CRT |FL_18","MoralDilemmaA |MoralDilemmaB|MoralDilemmaC"
"2023-12-04 23:16:34","2023-12-04 23:21:23","0","100","289","1","2023-12-04 23:21:24","EN","2","two","ten","twelve","eight","25","1","4","1","5","2","2","4","41","1","-99","6","1","-99","5","3","2","10","CRT |FL_18","MoralDilemmaC|MoralDilemmaA |MoralDilemmaB"
"2023-12-04 23:15:06","2023-12-04 23:21:24","0","100","377","1","2023-12-04 23:21:24","EN","2","2","50","12","7","13","1","7","1","7","2","1","4","31","1","-99","1","1","-99","3","2","1","10","FL_18|CRT ","MoralDilemmaC|MoralDilemmaA |MoralDilemmaB"
"2023-12-04 23:16:16","2023-12-04 23:21:27","0","100","310","1","2023-12-04 23:21:27","EN","2","2","10","1","7","25","1","7","2","1","2","3","4","44","1","-99","1","6","Hispanic","5","2","2","6","CRT |FL_18","MoralDilemmaC|MoralDilemmaA |MoralDilemmaB"
"2023-12-04 23:14:35","2023-12-04 23:21:59","0","100","443","1","2023-12-04 23:22:00","EN","2","2","50","12","7","13","2","5","2","4","1","3","2","26","1","-99","2","2","-99","3","3","2","8","FL_18|CRT ","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:16:19","2023-12-04 23:22:01","0","100","342","1","2023-12-04 23:22:02","EN","2","2","10","1","8","25","1","2","1","1","2","1","4","42","1","-99","2","1","-99","4","3","2","6","FL_18|CRT ","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:15:45","2023-12-04 23:22:08","0","100","383","1","2023-12-04 23:22:09","EN","2","2","5","12","8","6","1","4","1","4","2","1","4","35","1","-99","2","6","Cooured","3","3","2","8","FL_18|CRT ","MoralDilemmaC|MoralDilemmaA |MoralDilemmaB"
"2023-12-04 23:17:29","2023-12-04 23:22:51","0","100","321","1","2023-12-04 23:22:52","EN","2","2","50","0","7","13","1","5","1","5","1","5","4","60","1","-99","3","1","-99","4","2","2","14","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:16:38","2023-12-04 23:22:57","0","100","379","1","2023-12-04 23:22:58","EN","2","2","50","1","8","13","2","2","2","1","2","2","4","22","2","-99","1","6","Mixed","4","2","1","4","CRT |FL_18","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
"2023-12-04 23:17:25","2023-12-04 23:23:13","0","100","348","1","2023-12-04 23:23:13","EN","2","2","50","12","8","26","1","7","1","7","1","5","7","18","2","-99","1","1","-99","2","1","1","16","CRT |FL_18","MoralDilemmaC|MoralDilemmaB|MoralDilemmaA "
"2023-12-04 23:16:37","2023-12-04 23:23:14","0","100","396","1","2023-12-04 23:23:14","EN","2","2","50","1","8","13","2","1","2","1","2","1","4","42","2","-99","1","2","-99","4","1","1","3","CRT |FL_18","MoralDilemmaB|MoralDilemmaA |MoralDilemmaC"
"2023-12-04 23:16:44","2023-12-04 23:23:21","0","100","397","1","2023-12-04 23:23:22","EN","2","2","50","1","8","5","1","5","1","5","2","5","4","27","2","-99","1","6","Hispanic","4","2","2","13","FL_18|CRT ","MoralDilemmaB|MoralDilemmaC|MoralDilemmaA "
